Fund_Code,Fund_Name,Rainbow_Fund_Type,monthly_return,monthly_3_return,monthly_6_return,since_jan,annual_1_return,annual_3_return,annual_5_return,applied_management_fee,bylaw_management_fee,annual_realized_return_rate,max_total_expense_ratio,init_fund_size,current_fund_size,portfolio_size_change,init_out_shares,current_out_shares,change_in_nshares,realized_return_rate
DEF,ALLBATROSS PORTFÖY DEFNE SERBEST FON,Serbest Şemsiye Fonu,"-0,8422",-,-,-,-,-,-,"1,9","1,9","88,98","2,19","45.157.036,43","46.180.815,39","2,27","148.352,00","147.968,00","-0,26","2,53"
GIH,ALLBATROSS PORTFÖY GIDA VE İÇECEK SEKTÖRÜ HİSSE SENEDİ SERBEST (TL) FON (HİSSE SENEDİ YOĞUN FON),Serbest Şemsiye Fonu,"60,760","0,8824",-,-,-,-,-,"1,83","1,83","69,6","2,19","526.791.104,39","516.662.490,90","-1,92","108.180.793,00","104.739.007,00","-3,18","1,30"
AEV,ALLBATROSS PORTFÖY İHRACATÇI ŞİRKETLER HİSSE SENEDİ SERBEST (TL) FON (HİSSE SENEDİ YOĞUN FON),Serbest Şemsiye Fonu,"21,948","91,349",-,-,-,-,-,2,2,0,,"126.364.308,74","124.867.341,15","-1,18","31.991.505,00","31.770.732,00","-0,69","-0,50"
IHA,ALLBATROSS PORTFÖY İKİNCİ HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON),Hisse Senedi Şemsiye Fonu,"38,538","99,678",-,-,-,-,-,"2,75","2,75","103,91","3,65","787.380.345,47","770.809.521,48","-2,10","21.540.273,00","20.208.137,00","-6,18","4,35"
AOJ,ALLBATROSS PORTFÖY İNŞAAT SEKTÖRÜ HİSSE SENEDİ SERBEST (TL) FON (HİSSE SENEDİ YOĞUN FON),Serbest Şemsiye Fonu,"-39,968","72,660",-,-,-,-,-,"22,484","22,484","80,32","3,65","1.071.366.001,96","1.087.847.086,94","1,54","103.678.456,01","100.910.084,01","-2,67","4,32"
KHT,ALLBATROSS PORTFÖY KARTAL HİSSE SENEDİ SERBEST (TL) FON (HİSSE SENEDİ YOĞUN FON),Serbest Şemsiye Fonu,"25,208","-10,212","467,012",-,-,-,-,"20,002","20,002","37,32","3,65","700.759.927,61","680.667.798,77","-2,87","30.794.000,00","31.531.000,00","2,39","-5,14"
PRU,ALLBATROSS PORTFÖY PARA PİYASASI SERBEST (TL) FON,Serbest Şemsiye Fonu,"31,360","92,408","193,286",-,-,-,-,"2,5","2,5","33,72",,"6.498.067,36","7.059.870,75","8,65","1.196.535,00","1.255.772,00","4,95","3,52"
PKF,ATA PORTFÖY ALTIN KATILIM FONU,Katılım Şemsiye Fonu,"31,497","78,074","300,500",-,-,-,-,"1,8","1,8",0,"2,19","221.055.694,76","254.261.281,73","15,02","16.934.530,00","18.652.920,00","10,15","4,43"
PFS,ATLAS PORTFÖY FON SEPETİ FONU,Fon Sepeti Şemsiye Fonu,"40,527","66,348",-,-,-,-,-,1,1,0,,"5.927.251.118,54","5.798.884.624,03","-2,17","30.478.640.846,00","29.401.720.380,00","-3,53","1,42"
KTI,AZİMUT PORTFÖY KATILIM HİSSE SENEDİ FONU (HİSSE SENEDİ YOĞUN FON),Hisse Senedi Şemsiye Fonu,-,-,-,-,-,-,-,1,1,"61,67",0,"830.411.075,29","962.106.946,73","15,86","1.511.956.175,00","1.461.480.861,00","-3,34","19,86"
