Fund_Code,Fund_Name,Rainbow_Fund_Type,monthly_return,monthly_3_return,monthly_6_return,since_jan,annual_1_return,annual_3_return,annual_5_return,applied_management_fee,bylaw_management_fee,annual_realized_return_rate,max_total_expense_ratio,init_fund_size,current_fund_size,portfolio_size_change,init_out_shares,current_out_shares,change_in_nshares,realized_return_rate
YZG,YAPI KREDİ PORTFÖY GÜMÜŞ FON SEPETİ FONU,Fon Sepeti Şemsiye Fonu,"46,259","29,324","408,406","499,954","685,077",-,-,"2,5","2,5","85,8","4,38","10.443.942,61","7.640.115,65","-26,85","9.362.142,00","6.648.259,00","-28,99","3,02"
IOG,İŞ PORTFÖY GÜMÜŞ SERBEST FON,Serbest Şemsiye Fonu,"51,260","45,230","422,181","495,716","683,034",-,-,"2,9","2,9","63,79","4,38","2.642.542.073,00","2.620.434.791,89","-0,84","12.094.024.386,00","11.368.300.508,00","-6,00","5,49"
TKF,TACİRLER PORTFÖY HİSSE SENEDİ FONU (HİSSE SENEDİ YOĞUN FON),Hisse Senedi Şemsiye Fonu,"-31,576","79,469","921,371","516,180","681,861","4,848,717","1.735,9023","2,5","2,5","58,93","3,65","6.010.974.468,99","5.699.439.480,95","-5,18","12.460.451.044,00","11.645.623.133,00","-6,54","1,45"
RPS,ROTA PORTFÖY BİRİNCİ SERBEST (DÖVİZ) FON,Serbest Şemsiye Fonu,"42,419","83,236","647,184","654,592","677,975",-,-,"1,9","1,9","74,7","4,38","128.825.003,96","130.085.816,93","0,98","23.037.849,96","22.713.358,96","-1,41","2,42"
GO3,FONERİA PORTFÖY ÜÇÜNCÜ FON SEPETİ FONU,Fon Sepeti Şemsiye Fonu,"52,094","79,151","491,719","611,214","675,459",-,-,"0,95","0,95","36,47","3,65","401.344.132,17","403.701.818,40","0,59","123.505.386,00","119.412.934,00","-3,31","4,03"
KRF,KARE PORTFÖY BİRİNCİ DEĞİŞKEN FON,Değişken Şemsiye Fonu,"46,295","107,184","611,728","529,049","675,376","3,611,347","5,955,292","2,5","2,5","37,86",0,"155.749.319,69","181.312.368,95","16,41","62.572.197,00","67.593.481,00","8,02","7,77"
FBV,İŞ PORTFÖY MODEL SERBEST FON,Serbest Şemsiye Fonu,"87,503","77,553","486,574","612,097","675,228",-,-,"2,5","2,5","55,87","3,65","1.014.847.791,05","1.038.178.301,06","2,30","380.920.035,00","365.407.958,00","-4,07","6,64"
KID,TRIVE PORTFÖY BİRİNCİ SERBEST (DÖVİZ) FON,Serbest Şemsiye Fonu,"67,207","96,775","634,923","627,957","674,663",-,-,"2,5","2,5","14,55","3,65","988.926.839,30","1.189.089.796,97","20,24","8.168.045.862,00","8.516.580.542,00","4,27","15,32"
GPC,GARANTİ PORTFÖY İKİNCİ SERBEST ( DÖVİZ ) FON,Serbest Şemsiye Fonu,"88,900","95,810","663,011","648,436","674,064","2,954,672","5,932,150","1,9","1,9","60,47","4,38","1.220.804.815,64","1.232.798.899,31","0,98","419.354.543,00","397.813.250,00","-5,14","6,45"
HBN,HSBC PORTFÖY BİRİNCİ FON SEPETİ FONU,Fon Sepeti Şemsiye Fonu,"54,349","65,804","560,141","599,189","673,937",-,-,"2,5","2,5","36,55","3,65","139.728.150,46","148.316.294,12","6,15","79.924.528,00","78.840.731,00","-1,36","7,61"
NBZ,NEO PORTFÖY BİRİNCİ SERBEST (DÖVİZ) FON,Serbest Şemsiye Fonu,"31,475","70,226","485,319","616,566","672,470",-,-,"2,4","2,4","71,18",0,"374.039.396,23","420.110.020,42","12,32","170.710.507,00","181.693.450,00","6,43","5,53"
ARE,İSTANBUL PORTFÖY YABANCI (GELİŞMEKTE OLAN PİYASALAR) BORÇLANMA ARAÇLARI FONU,Borçlanma Araçları Şemsiye Fonu,"62,771","61,308","503,264","621,445","672,393","1,726,115","3,100,159","2,5","2,5","131,3",0,"69.767.826,19","77.948.742,59","11,73","1.832.050.814,00","1.986.172.114,00","8,41","3,06"
MPN,AKTİF PORTFÖY İKİNCİ AKTİF SERBEST (DÖVİZ) FON,Serbest Şemsiye Fonu,"66,703","84,600","617,744","642,166","672,055","2,784,805",-,"1,9","1,9","52,47","4,38","180.531.201,74","165.396.365,38","-8,38","56.551.864,00","51.688.173,00","-8,60","0,24"
KUT,KT PORTFÖY KIYMETLİ MADENLER KATILIM FONU,Katılım Şemsiye Fonu,"26,041","59,242","413,542","547,618","672,005",-,-,"2,2","2,2","91,74","3,65","54.671.761,98","55.529.499,44","1,57","17.851.730,00","17.355.446,00","-2,78","4,47"
DZE,DENİZ PORTFÖY BIST 100 ENDEKSİ HİSSE SENEDİ FONU(HİSSE SENEDİ YOĞUN FON),Hisse Senedi Şemsiye Fonu,"23,630","39,481","758,626","471,716","671,414","5,503,067","7,688,031","2,5","2,5","63,92","4,38","181.685.952,32","184.216.554,60","1,39","78.847.225,00","76.875.690,00","-2,50","3,99"
EBD,GLOBAL MD PORTFÖY İKİNCİ DEĞİŞKEN FON,Değişken Şemsiye Fonu,"27,238","92,548","474,445","530,002","671,367","2,728,654","4,354,789","2,5","2,5","72,69","3,65","504.490.454,21","524.407.519,55","3,95","166.074.306,00","165.116.245,00","-0,58","4,55"
HMC,HEDEF PORTFÖY EKİNOKS SERBEST (TL) FON,Serbest Şemsiye Fonu,"0,9148","97,500","616,781","604,334","670,645",-,-,2,2,"64,41","3,65","376.809.773,72","396.028.048,87","5,10","130.620.428,00","133.878.051,00","2,49","2,54"
RBA,ALBARAKA PORTFÖY ALTIN KATILIM FONU,Katılım Şemsiye Fonu,"0,4276","56,792","375,936","609,234","670,321","2,383,530","5,875,494","1,8","1,8","73,54","2,19","9.524.869,82","9.340.676,97","-1,93","1.443.494,00","1.340.024,00","-7,17","5,64"
EIB,QİNVEST PORTFÖY DEĞİŞKEN FON,Değişken Şemsiye Fonu,"66,033","124,062","522,823","551,543","670,248","2,152,600","4,190,753",2,2,"67,39","4,38","522.817.521,24","568.449.222,32","8,73","31.292.509,00","31.376.821,00","0,27","8,44"
IUF,İŞ PORTFÖY YEDİNCİ SERBEST (DÖVİZ-AVRO) FON,Serbest Şemsiye Fonu,"69,310","92,325","569,020","601,580","669,827",-,-,1,1,"61,21","2,19","456.538.673,85","485.231.239,27","6,28","181.518.241,00","185.094.509,00","1,97","4,23"
KRS,KARE PORTFÖY SERBEST (DÖVİZ) FON,Serbest Şemsiye Fonu,"93,066","65,161","519,146","733,548","669,491",-,-,"3,5","3,5",0,,"259.084.318,08","270.227.224,59","4,30","46.623.229,00","46.467.866,00","-0,33","4,65"
AYA,ATA PORTFÖY KAR PAYI ÖDEYEN HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON),Hisse Senedi Şemsiye Fonu,"27,561","66,332","712,377","409,682","668,888","3,890,608","7,773,902",5,5,0,,"87.238.396,14","92.108.864,48","5,58","25.601.828,00","24.459.031,00","-4,46","10,52"
DSP,DENİZ PORTFÖY BİRİNCİ FON SEPETİ FONU,Fon Sepeti Şemsiye Fonu,"40,874","83,975","526,958","560,612","665,908","2,286,772","3,608,574","2,7","2,7",0,"3,65","74.643.820,52","78.706.102,87","5,44","25.231.244,00","23.374.440,00","-7,36","13,82"
KRT,KARE PORTFÖY TÜRKİYE ODAKLI SERBEST (DÖVİZ ) FON,Serbest Şemsiye Fonu,"41,738","73,918","566,071","636,062","665,755","3,349,164","6,185,486","2,5","2,5",0,"3,65","19.265.682,15","19.894.428,91","3,26","7.381.614,00","6.997.984,00","-5,20","8,92"
PBK,QİNVEST PORTFÖY BİRİNCİ KATILIM SERBEST(DÖVİZ) FON,Serbest Şemsiye Fonu,"39,168","73,916","541,899","638,662","664,194","3,125,296",-,"2,7",0,"118,18","3,65","880.025.344,79","792.585.207,34","-9,94","63.717.599,00","55.097.994,00","-13,53","4,15"
IUV,İŞ PORTFÖY BEŞİNCİ SERBEST (DÖVİZ) FON,Serbest Şemsiye Fonu,"41,059","81,191","578,175","631,479","663,639",-,-,3,3,0,,"402.981.296,85","388.206.725,12","-3,67","235.835.728,00","214.762.691,00","-8,94","5,79"
KTT,KT PORTFÖY DÖRDÜNCÜ KATILIM SERBEST (DÖVİZ) FON,Serbest Şemsiye Fonu,"40,622","76,276","549,230","628,425","662,364","3,023,926","5,154,961","2,9","2,9",0,,"93.319.977,50","94.285.428,05","1,03","141.809.000,00","136.149.400,00","-3,99","5,23"
SUC,ÜNLÜ PORTFÖY ÜÇÜNCÜ DEĞIŞKEN FON,Değişken Şemsiye Fonu,"63,891","119,376","468,019","538,846","661,825","2,356,781","4,117,401",3,0,"67,06",,"105.218.915,85","416.669.895,86","296,00","102.084.336,00","388.883.951,00","280,94","3,95"
KUB,KARE PORTFÖY DEĞİŞKEN (DÖVİZ) FONU,Değişken Şemsiye Fonu,"68,628","77,940","532,569","665,920","659,202","3,298,570","6,445,518","2,5","2,5","51,52",,"67.605.878,03","90.964.732,30","34,55","59.312.796,00","77.041.944,00","29,89","3,59"
FUB,QNB FİNANS PORTFÖY EUROBOND (DÖVİZ) BORÇLANMA ARAÇLARI FONU,Borçlanma Araçları Şemsiye Fonu,"59,000","95,058","611,264","631,405","659,108","2,895,280","5,860,530",2,2,"86,65","3,65","36.673.544,87","35.840.364,89","-2,27","23.559.519,00","22.052.633,00","-6,40","4,41"
KIA,TRIVE PORTFÖY MUTLAK GETİRİ HEDEFLİ DEĞİŞKEN FON,Değişken Şemsiye Fonu,"24,679","48,909","565,414","540,632","658,543",-,-,"1,752","1,752","98,3","3,65","181.199.950,16","112.829.605,69","-37,73","104.724.671,00","62.799.317,00","-40,03","3,84"
YPK,YAPI KREDİ PORTFÖY GALATA SERBEST FON,Serbest Şemsiye Fonu,"35,764","73,476","477,727","612,440","658,466","2,160,114",-,"2,008","2,008","61,37","4,38","2.073.701.095,64","1.939.828.535,87","-6,46","472.189.630,00","422.627.241,00","-10,50","4,51"
MJL,AKTİF PORTFÖY AKTİF SERBEST (DÖVİZ-AVRO) FON,Serbest Şemsiye Fonu,"61,277","76,380","470,242","599,450","657,983",-,-,"1,533","1,533","71,5","3,65","236.668.284,24","269.682.519,28","13,95","88.133.392,00","88.373.154,00","0,27","13,64"
OPB,OSMANLI PORTFÖY BİRİNCİ DEĞİŞKEN FON,Değişken Şemsiye Fonu,"40,249","94,251","509,691","515,023","656,602","3,072,690",-,"1,533","1,533","44,56","3,65","1.108.754.695,78","1.114.198.354,43","0,49","547.932.464,00","538.848.975,00","-1,66","2,19"
ZJV,ZİRAAT PORTFÖY BIST 30 DIŞI YILDIZ PAZAR ŞİRKETLERİ HİSSE SENEDİ FONU (HİSSE SENEDİ YOĞUN FON),Hisse Senedi Şemsiye Fonu,"-12,129","56,119","931,658","303,685","654,929",-,-,"2,37","2,37","23,76","2,56","55.211.191,42","51.187.821,43","-7,29","12.377.314,00","11.305.711,00","-8,66","1,50"
KAV,KT PORTFÖY ALTINCI KATILIM SERBEST (DÖVİZ-AVRO) FON,Serbest Şemsiye Fonu,"59,462","71,561","477,189","592,514","654,662",-,-,"2,5","2,5","69,75","3,65","640.375.771,26","635.263.256,98","-0,80","25.135.456.594,00","24.661.077.629,00","-1,89","1,11"
GPA,GARANTİ PORTFÖY EUROBOND BORÇLANMA ARAÇLARI (DÖVİZ) FONU,Borçlanma Araçları Şemsiye Fonu,"71,537","93,169","625,057","627,883","653,849","2,900,371","5,705,760","1,25","1,25","23,95","1,65","292.798.110,28","285.699.798,57","-2,42","6.167.531.669,00","5.822.383.962,00","-5,60","3,36"
DMG,DENİZ PORTFÖY GÜMÜŞ FON SEPETİ FONU,Fon Sepeti Şemsiye Fonu,"48,267","44,081","456,542","473,815","653,072",-,-,"2,19","2,19","10,12","3,65","215.489.446,28","257.876.982,37","19,67","3.279.693.755,00","3.457.707.392,00","5,43","13,51"
IUH,INVEO PORTFÖY DÖNÜŞTÜRÜCÜ TEKNOLOJİLER FON SEPETİ FONU,Fon Sepeti Şemsiye Fonu,"97,945","88,300","578,592","612,818","652,468",-,-,"2,25",0,"37,86","3,65","1.069.725.837,39","1.173.474.774,21","9,70","7.557.494.613,00","7.555.299.781,00","-0,03","9,73"
OPL,OSMANLI PORTFÖY İKİNCİ DEĞİŞKEN FON,Değişken Şemsiye Fonu,"31,561","63,318","450,973","519,841","650,866",-,-,"2,5","2,5","83,91","3,65","193.730.240,54","197.964.466,09","2,19","1.887.103.093,00","1.818.995.434,00","-3,61","6,01"
GAS,GARANTİ PORTFÖY ÜÇÜNCÜ SERBEST(DÖVİZ) FON,Serbest Şemsiye Fonu,"38,673","75,629","557,009","609,657","649,932","3,198,258","5,612,105","0,75",0,"34,83","1,65","374.301.596,00","349.977.390,81","-6,50","6.365.722.370,20","5.804.619.968,20","-8,81","2,54"
OBP,OYAK PORTFÖY İKİNCİ DEĞİŞKEN FON,Değişken Şemsiye Fonu,"28,861","124,520","540,017","634,379","649,806","1,776,266","3,043,722","1,25",0,"105,53","3,65","545.389.415,17","476.863.217,45","-12,56","14.636.860.170,00","12.508.137.880,00","-14,54","2,32"
GMC,TEB PORTFÖY GÜMÜŞ FON SEPETİ FONU,Fon Sepeti Şemsiye Fonu,"48,253","34,634","430,680","490,921","649,019",-,-,"2,7",0,"126,39","3,65","3.217.039.489,48","3.140.838.127,90","-2,37","4.342.854,00","4.149.394,00","-4,45","2,18"
RPX,ROTA PORTFÖY ÜÇÜNCÜ SERBEST (DÖVİZ) FON,Serbest Şemsiye Fonu,"43,335","82,557","575,900","632,361","647,891",-,-,"1,25","1,25","35,04","1,65","677.781.017,86","861.022.349,14","27,04","5.478.250,00","6.777.512,00","23,72","2,68"
TGR,AK PORTFÖY TURİZM VE SEYAHAT SEKTÖRÜ DEĞİŞKEN FON,Değişken Şemsiye Fonu,"105,489","0,3093","495,940","645,854","647,548",-,-,"1,75","1,75","24,88","3,65","16.680.560,66","15.519.029,51","-6,96","37.198.811,33","34.056.796,33","-8,45","1,62"
GBG,INVEO PORTFÖY G-20 ÜLKELERİ YABANCI HİSSE SENEDİ FONU,Hisse Senedi Şemsiye Fonu,"95,923","73,269","507,165","686,748","646,173","3,316,453","5,944,261",2,0,"76,78","3,65","308.183.169,97","301.869.342,10","-2,05","187.089.235,00","177.875.425,00","-4,92","3,03"
FPZ,QNB FİNANS PORTFÖY BİRİNCİ SERBEST (DÖVİZ) FON,Serbest Şemsiye Fonu,"41,832","77,627","557,995","620,412","645,884","3,182,252","6,138,313","1,75","1,75","70,92","2,19","1.437.888.341,13","1.440.303.110,10","0,17","2.045.878.457,00","1.971.201.063,00","-3,65","3,96"
PDF,QİNVEST PORTFÖY BİRİNCİ SERBEST (DÖVİZ) FON,Serbest Şemsiye Fonu,"36,711","70,687","545,727","620,172","645,619","2,866,038",-,2,2,"75,54","3,65","1.018.813.586,02","1.826.164.703,05","79,24","754.575.092,00","1.313.268.796,00","74,04","2,99"
TPJ,TEB PORTFÖY BİRİNCİ SERBEST (DÖVİZ) FON,Serbest Şemsiye Fonu,"50,211","85,561","594,918","625,093","644,585","3,200,581","6,354,071","1,95","1,95","56,35","3,65","186.144.174,05","157.005.070,50","-15,65","73.072.016,00","59.851.238,00","-18,09","2,98"
GZZ,GARANTİ PORTFÖY FİNANS SEKTÖRÜ DEĞİŞKEN FON,Değişken Şemsiye Fonu,"84,299","94,179","588,281","647,139","644,104",-,-,"1,3","1,3","29,67","1,65","487.059.612,44","435.147.723,29","-10,66","135.312.719,00","117.785.347,00","-12,95","2,64"
YPL,YAPI KREDİ PORTFÖY BALAT SERBEST (DÖVİZ) FON,Serbest Şemsiye Fonu,"37,929","77,146","551,752","619,496","644,047","3,243,960",-,2,2,"99,59","3,65","7.153.461.095,28","5.432.790.833,94","-24,05","3.866.601.573,00","2.855.125.353,00","-26,16","2,85"
IDF,İŞ PORTFÖY SERBEST (DÖVİZ) FON,Serbest Şemsiye Fonu,"37,365","75,217","558,695","622,478","643,907","3,264,799","5,975,389",1,1,"48,26","3,65","358.384.348,03","283.747.052,15","-20,83","5.099.018.171,67","3.951.931.744,67","-22,50","2,16"
ZPC,ZİRAAT PORTFÖY FON SEPETİ FONU,Fon Sepeti Şemsiye Fonu,"21,564","56,646","564,767","478,170","643,478","3,185,475","5,470,636","0,75","0,75","42,13","3,65","528.747.315,96","577.581.758,61","9,24","85.035.474,00","86.556.530,00","1,79","7,32"
NBH,NEO PORTFÖY ALGORİTMİK STRATEJİLER SERBEST FON,Serbest Şemsiye Fonu,"20,975","71,717","441,499","398,801","642,791",-,-,"2,9","2,9","94,47","3,65","330.236.453,95","320.037.795,80","-3,09","2.056.822.262,00","1.968.996.611,00","-4,27","1,23"
ZPF,ZİRAAT PORTFÖY KATILIM FONU (DÖVİZ),Katılım Şemsiye Fonu,"47,944","83,486","554,772","606,706","641,607","2,734,644","5,068,607","209,875","209,875","30,44",,"44.814.946,81","44.518.748,70","-0,66","88.206.589,00","84.772.825,00","-3,89","3,36"
GZV,GARANTİ PORTFÖY ESG SÜRDÜRÜLEBİLİRLİK FON SEPETİ FONU,Fon Sepeti Şemsiye Fonu,"101,669","61,818","508,290","674,093","639,174",-,-,1,1,"64,39",,"65.141.562,39","99.871.476,44","53,31","1.397.128,00","2.070.013,00","48,16","3,48"
AKU,AK PORTFÖY BIST 30 ENDEKSİ HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON),Hisse Senedi Şemsiye Fonu,"40,123","40,500","662,774","426,993","638,311","4,738,955","6,556,966",0,"3,36","105,99","3,65","687.107.025,75","613.030.098,30","-10,78","17.663.352,00","15.344.142,00","-13,13","2,70"
GUM,AK PORTFÖY GÜMÜŞ FON SEPETI FONU,Fon Sepeti Şemsiye Fonu,"47,592","35,783","436,227","463,514","637,888",-,-,"0,7","0,7","31,85","1,65","85.071.939,31","82.696.829,73","-2,79","910.994,00","859.354,00","-5,67","3,05"
ZSF,ZİRAAT PORTFÖY S&P/OIC COMCEC (İSEDAK) 50 SHARİAH ŞİRKETLERİ YABANCI HİSSE SENEDİ FONU,Hisse Senedi Şemsiye Fonu,"115,673","73,502","496,226","662,000","637,636",-,-,"2,5","2,5","42,19","3,65","5.993.379,26","6.591.292,22","9,98","200.947,00","215.927,00","7,45","2,35"
TPL,TEB PORTFÖY EUROBOND (DÖVİZ) BORÇLANMA ARAÇLARI FONU,Borçlanma Araçları Şemsiye Fonu,"49,608","82,019","590,349","622,583","635,382","2,943,579","5,669,373",2,0,"71,3","3,65","4.031.508,13","4.151.504,30","2,98","1.976.004,00","1.977.481,00","0,07","2,90"
IPG,İŞ PORTFÖY ATAK FON SEPETİ FONU,Fon Sepeti Şemsiye Fonu,"82,506","87,323","455,474","565,393","624,496","1,823,267","2,379,480",2,2,"98,45","3,65","232.499.956,11","301.509.689,19","29,68","76.797.617,00","81.258.569,00","5,81","22,56"
GBC,AZİMUT PYŞ YABANCI BYF FON SEPETİ FONU,Fon Sepeti Şemsiye Fonu,"66,215","104,525","485,464","546,343","623,777","1,916,217","5,372,161","1,7","1,7","30,66","2,56","20.094.115,97","19.397.852,34","-3,47","260.955.904,00","259.737.128,00","-0,47","-3,01"
KKH,İŞ PORTFÖY DENGELİ FON SEPETİ FONU,Fon Sepeti Şemsiye Fonu,"58,318","68,182","425,883","562,822","623,761","1,607,866",-,"2,75",0,0,"3,65","758.039.126,20","896.564.186,78","18,27","20.953.439,00","23.970.969,00","14,40","3,39"
ALC,AK PORTFÖY BİST TEMETTÜ 25 ENDEKSİ HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON),Hisse Senedi Şemsiye Fonu,"22,692","15,880","662,445","418,529","618,776","4,593,067","7,327,618",2,2,114,"3,65","2.397.367.063,49","2.208.302.499,73","-7,89","379.545.108,00","345.468.714,00","-8,98","1,20"
GTY,GARANTİ PORTFÖY TREND SERBEST FON,Serbest Şemsiye Fonu,"81,248","128,834","602,511","664,499","617,613",-,-,"3,2","3,2","98,79","3,65","626.236.502,90","577.417.678,30","-7,80","347.236.522,00","310.620.232,00","-10,55","3,07"
UPD,ÜNLÜ PORTFÖY DÖRDÜNCÜ SERBEST (DÖVIZ) FON,Serbest Şemsiye Fonu,"34,515","65,209","540,608","587,092","616,673","3,221,905",-,"1,785,945","1,785,945",0,,"262.124.632,20","379.278.946,37","44,69","3.684.325.238,13","5.278.146.908,13","43,26","1,00"
HOY,HSBC PORTFÖY YABANCI BYF FON SEPETI,Fon Sepeti Şemsiye Fonu,"98,562","68,234","479,135","624,359","613,710","2,614,316","4,892,185","2,5","2,5","150,83","3,65","59.836.170,20","63.186.422,63","5,60","29.882.021,00","27.793.334,00","-6,99","13,53"
YJY,YAPI KREDİ PORTFÖY YENİKÖY SERBEST (DÖVİZ) FON,Serbest Şemsiye Fonu,"32,870","70,129","519,872","597,249","613,156",-,-,0,1,"93,49","3,65","24.331.906,88","24.738.958,38","1,67","5.070.812,00","4.957.334,00","-2,24","4,00"
GAG,INVEO PORTFÖY BİRİNCİ SERBEST (DÖVIZ) FON,Serbest Şemsiye Fonu,"37,098","73,000","514,706","577,260","612,263","3,056,156","6,451,423",2,2,"59,14","3,65","3.770.781,95","3.911.347,28","3,73","2.553.830,00","2.580.124,00","1,03","2,67"
HBU,HSBC PORTFÖY BİST 30 ENDEKSİ HİSSE SENEDİ FONU (HİSSE SENEDİ YOĞUN FON),Hisse Senedi Şemsiye Fonu,"39,371","39,890","697,592","431,039","612,076","5,102,735","6,834,666",2,0,"83,92","3,65","18.713.342,91","17.592.795,69","-5,99","12.439.068,00","10.897.674,00","-12,39","7,31"
TIE,İŞ PORTFÖY BIST 30 ENDEKSİ HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON),Hisse Senedi Şemsiye Fonu,"43,895","43,672","663,910","416,236","610,993","4,649,953","6,248,775","0,75","0,75","74,64","4,38","742.931.823,36","773.579.812,93","4,13","100.180.296,00","100.507.689,00","0,33","3,79"
KIS,QİNVEST PORTFÖY KİRA SERTİFİKASI KATILIM (DÖVİZ) FONU,Katılım Şemsiye Fonu,"42,374","54,589","503,430","586,554","609,406","2,930,613","4,937,363",2,0,"68,58","3,65","292.055.837,51","262.906.363,55","-9,98","113.565.084,00","104.116.376,00","-8,32","-1,81"
GTZ,GARANTİ PORTFÖY GÜMÜŞ FON SEPETİ FONU,Fon Sepeti Şemsiye Fonu,"51,345","38,184","410,198","452,236","609,223","1,875,808",-,2,0,"78,55",,"169.224.403,22","210.667.162,08","24,49","65.297.689,00","81.361.375,00","24,60","-0,09"
ODV,AK PORTFÖY ÜÇÜNCÜ FON SEPETİ FONU,Fon Sepeti Şemsiye Fonu,"52,515","68,050","584,948","528,827","608,750","2,713,223","4,847,449","1,05",0,"32,83","1,65","470.307.104,31","595.316.827,86","26,58","33.066.813,00","39.854.990,00","20,53","5,02"
ZBD,ZİRAAT PORTFÖY DENGELİ DEĞİŞKEN FON,Değişken Şemsiye Fonu,"23,270","54,578","478,829","493,012","608,580","2,781,726","4,198,599",2,0,"99,18","3,65","367.713.103,01","383.232.885,90","4,22","72.400.552,00","73.977.172,00","2,18","2,00"
ARM,AK PORTFÖY İKİNCİ FON SEPETİ FONU,Fon Sepeti Şemsiye Fonu,"49,552","71,034","526,646","538,852","608,505","2,086,858","3,736,255",2,2,"58,86","3,65","125.151.123,35","163.792.408,93","30,88","53.154.793,00","62.423.812,00","17,44","11,44"
YLO,YAPI KREDİ PORTFÖY ELEKTRİKLİ ARAÇLAR DEĞİŞKEN FON,Değişken Şemsiye Fonu,"70,873","28,930","435,011","601,560","608,181",-,-,2,2,"30,34","3,65","793.710.329,31","942.003.398,92","18,68","188.805.709,00","197.767.109,00","4,75","13,31"
ZPA,ZİRAAT PORTFÖY SERBEST (DÖVİZ) FON,Serbest Şemsiye Fonu,"56,028","93,521","554,960","581,137","606,989",-,-,"1,25","1,25","59,26","4,38","26.584.411,83","32.611.681,13","22,67","10.597.985,00","12.420.867,00","17,20","4,67"
NHP,NEO PORTFÖY BİRİNCİ FON SEPETİ FONU,Fon Sepeti Şemsiye Fonu,"35,590","77,743","521,288","519,950","606,744",-,-,"2,5",0,"60,34",,"189.089.068,24","247.148.846,10","30,70","74.459.909,00","88.062.991,00","18,27","10,52"
GZJ,GARANTİ PORTFÖY İKİNCİ FON SEPETİ FONU,Fon Sepeti Şemsiye Fonu,"45,946","83,200","560,426","521,268","604,650",-,-,"1,9","1,9","68,3",,"816.119.613,71","899.122.598,85","10,17","201.310.322,00","210.309.326,00","4,47","5,46"
PAL,AK PORTFÖY ALTINCI SERBEST(DÖVİZ) FON,Serbest Şemsiye Fonu,"30,713","69,297","480,666","592,209","603,962","2,987,975",-,"210,021",0,"161,48","3,65","1.989.702.427,59","3.197.349.862,76","60,69","1.202.820.609,00","1.876.359.008,00","56,00","3,01"
IMF,İSTANBUL PORTFÖY MAESTRO SERBEST FON,Serbest Şemsiye Fonu,"32,579","65,915","501,520","568,249","603,430","1,746,006",-,"0,2",0,"62,45","4,38","280.140.330,26","373.641.298,57","33,38","65.497.430,00","76.424.499,00","16,68","14,31"
GAE,GARANTİ PORTFÖY BİST30 ENDEKSİ HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON),Hisse Senedi Şemsiye Fonu,"38,025","42,336","665,372","424,202","602,495","4,659,514","6,160,866",2,0,"51,66","3,65","226.919.896,30","262.430.963,80","15,65","53.908.575,00","58.707.483,00","8,90","6,20"
KTM,KT PORTFÖY BİRİNCİ KATILIM (TL) FONU,Katılım Şemsiye Fonu,"27,883","67,251","501,915","464,053","600,696","2,624,910","4,720,517",1,0,"68,53","3,65","428.613.122,93","538.292.310,17","25,59","154.363.697,00","180.856.194,00","17,16","7,19"
YAC,YAPI KREDİ PORTFÖY İKİNCİ FON SEPETİ FONU,Fon Sepeti Şemsiye Fonu,"50,950","65,745","491,682","521,716","598,329","2,486,007","4,839,956",2,2,"117,78","4,38","172.747.158,63","206.945.908,98","19,80","63.777.620,00","74.020.269,00","16,06","3,22"
AN1,STRATEJİ PORTFÖY BİRİNCİ DEĞİŞKEN FON,Değişken Şemsiye Fonu,"-0,6522","53,589","545,812","441,139","597,183","3,437,866","5,262,155","3,150,315","3,150,315",0,,"453.355.879,98","461.248.106,24","1,74","152.772.590,00","151.858.085,00","-0,60","2,35"
FFS,FİBA PORTFÖY 2023 SERBEST (DÖVİZ) FON,Serbest Şemsiye Fonu,"31,020","69,498","478,920","580,221","595,893","3,174,430",-,0,"1,95","102,7","3,65","894.107.029,69","943.790.717,29","5,56","302.048.673,00","299.316.076,00","-0,90","6,52"
DTZ,AK PORTFÖY DÖNÜŞTÜRÜCÜ TEKNOLOJİLER DEĞİŞKEN FON,Değişken Şemsiye Fonu,"88,667","46,496","511,372","584,060","593,665",-,-,"1,25","1,25",0,"1,65","969.371.514,84","1.190.944.801,40","22,86","2.817.033.469,57","3.221.226.477,57","14,35","7,44"
FZJ,FİBA PORTFÖY BİRİNCİ FON SEPETİ FONU,Fon Sepeti Şemsiye Fonu,"43,171","99,277","432,140","530,628","593,288",-,-,"1,6","1,6","33,04","2,56","208.217.631,25","229.633.802,82","10,29","55.005.141,00","56.368.342,00","2,48","7,62"
TI4,İŞ PORTFÖY TEMKİNLİ DEĞİŞKEN FON,Değişken Şemsiye Fonu,"25,984","70,021","409,119","528,296","592,970","1,478,877","2,442,661","2,5","2,5","89,21","3,65","1.278.474.762,05","1.397.630.410,52","9,32","179.035.065,00","180.460.752,00","0,80","8,46"
ILZ,İŞ PORTFÖY TEMKİNLİ FON SEPETİ FONU,Fon Sepeti Şemsiye Fonu,"38,602","77,339","374,084","530,779","592,595",-,-,"0,5",0,"66,98",,"2.724.057.833,71","2.950.875.352,63","8,33","73.740.199,00","76.787.978,00","4,13","4,03"
